ID,qualification,a_level_subjects,reason_for_course,preferred_job,preferred_sector,most_enjoyable,prior_programming,confidence_maths,confidence_programming,confidence_python,career_clarity,postgraduate_intention,comments,consent
27,A-levels,Maths;Physics;A modern foreign language;,"Recommended by family, teachers or friends",Data science / data analysis,Finance,Understanding why something works (theory),None,4,3,4,3,No,Would love some sessions on building a portfolio / GitHub.,Yes
28,A-levels,Maths;Further Maths;Art / Design / Media;,I enjoyed maths before university,Software or ML engineering,No preference,Understanding why something works (theory),"A little (tutorials, school projects)",2,1,1,4,Maybe,,Yes
29,A-levels,Maths;Computer Science;Business Studies;,Genuine interest in AI/ML,"Research or further study (MSc, PhD)",Big tech,Understanding why something works (theory),None,4,1,1,3,Maybe,Would love some sessions on building a portfolio / GitHub.,Yes
30,A-levels,Maths;Further Maths;Computer Science;,Job prospects and salary,Not sure yet,Big tech,Finding patterns in data,"A lot (substantial projects, internships or paid work)",3,4,5,1,Maybe,,Yes
31,A-levels,Maths;Chemistry;English (Language or Literature);,Genuine interest in AI/ML,Software or ML engineering,Finance,Building practical things that work (including code),"A lot (substantial projects, internships or paid work)",2,3,3,2,No,,No
32,A-levels,Further Maths;Computer Science;Economics;,It was my insurance/clearing choice,"Research or further study (MSc, PhD)",Finance,Finding patterns in data,Moderate (personal projects),4,2,2,2,Maybe,,Yes
33,A-levels,Maths;Physics;Computer Science;Geography;,I enjoyed programming before university,"Product, project management or consulting",Big tech,Understanding why something works (theory),Moderate (personal projects),3,4,4,4,No,,Yes
34,Access course / foundation year,,Genuine interest in AI/ML,"Research or further study (MSc, PhD)",No preference,Finding patterns in data,None,2,2,2,1,Maybe,,Yes
35,"International qualifications (IB, Baccalaureate, other)",,Genuine interest in AI/ML,"Research or further study (MSc, PhD)",Not sure,Understanding why something works (theory),"A little (tutorials, school projects)",1,3,3,3,No,I'd like more worked examples before the exercises.,Yes
36,A-levels,Maths;Further Maths;Business Studies;,I enjoyed maths before university,Data science / data analysis,Big tech,Understanding why something works (theory),None,3,3,3,3,Maybe,,Yes
37,A-levels,Maths;Biology;A modern foreign language;,Genuine interest in AI/ML,Data science / data analysis,Finance,Understanding why something works (theory),None,3,2,1,3,Maybe,,Yes
38,A-levels,Maths;Computer Science;Economics;History;,Genuine interest in AI/ML,"Product, project management or consulting",No preference,Understanding why something works (theory),"A lot (substantial projects, internships or paid work)",4,4,4,2,Maybe,Interested in doing a placement year.,No
39,A-levels,Maths;Economics;English (Language or Literature);,It was my insurance/clearing choice,"Product, project management or consulting",Big tech,Building practical things that work (including code),"A lot (substantial projects, internships or paid work)",2,4,4,2,No,I'd like more worked examples before the exercises.,Yes
40,Access course / foundation year,,"Recommended by family, teachers or friends",Something outside tech,Not sure,Finding patterns in data,"A little (tutorials, school projects)",2,3,3,3,No,,Yes
41,Access course / foundation year,,I enjoyed programming before university,Data science / data analysis,Startups / small companies,Working with people and coordinating,"A lot (substantial projects, internships or paid work)",2,4,4,2,Maybe,Not sure yet whether I want to go into research or industry.,No
42,"International qualifications (IB, Baccalaureate, other)",,I enjoyed programming before university,Software or ML engineering,Finance,Building practical things that work (including code),Moderate (personal projects),2,3,3,3,No,,Yes
43,A-levels,Maths;Computer Science;Economics;A modern foreign language;,I enjoyed programming before university,Data science / data analysis,Games / creative industries,Understanding why something works (theory),"A little (tutorials, school projects)",3,2,2,3,Maybe,,Yes
44,A-levels,Maths;Physics;Chemistry;Biology;,I enjoyed programming before university,Software or ML engineering,Not sure,Building practical things that work (including code),"A little (tutorials, school projects)",3,3,2,3,Maybe,,Yes
45,A-levels,Maths;Psychology;A modern foreign language;Other(s);,"The university or city, more than the course",Data science / data analysis,Healthcare / biotech,Finding patterns in data,Moderate (personal projects),3,1,1,4,Yes,,Yes
46,A-levels,Maths;Biology;Psychology;Geography;,I enjoyed programming before university,Not sure yet,Big tech,Finding patterns in data,None,4,1,1,2,Maybe,Enjoying it so far but the maths is quite fast.,Yes
47,A-levels,Maths;Psychology;English (Language or Literature);A modern foreign language;,I enjoyed programming before university,Data science / data analysis,Startups / small companies,Working with people and coordinating,"A little (tutorials, school projects)",3,4,3,4,Maybe,,Yes
48,A-levels,Maths;Computer Science;Psychology;,I enjoyed programming before university,Not sure yet,Healthcare / biotech,Building practical things that work (including code),"A lot (substantial projects, internships or paid work)",2,3,4,2,Maybe,"Hoping to get a summer internship, any advice would be great.",Yes
49,A-levels,Maths;Psychology;Other(s);,"Recommended by family, teachers or friends",Software or ML engineering,Games / creative industries,Finding patterns in data,"A little (tutorials, school projects)",3,2,2,4,No,,Yes
50,"International qualifications (IB, Baccalaureate, other)",,Other,Something outside tech,Not sure,Building practical things that work (including code),"A lot (substantial projects, internships or paid work)",2,4,5,4,Maybe,Linear algebra is the hardest part for me.,No
